City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
309,Lompoc,US,34.64,-120.46,68.14,94,20,3.44,few clouds
310,San Jose De Guanipa,VE,8.89,-64.17,89.42,46,24,11.18,few clouds
311,Alpena,US,45.06,-83.43,78.12,66,0,4.0,clear sky
312,Ancud,CL,-41.87,-73.82,42.22,69,69,16.6,light rain
313,Northbrook,US,42.13,-87.83,81.21,68,20,9.22,few clouds
314,Cortez,US,37.35,-108.59,74.7,62,75,4.61,broken clouds
315,Ranot,TH,7.78,100.32,81.55,77,67,11.32,broken clouds
316,Monrovia,LR,6.30,-10.80,82.17,74,100,12.59,overcast clouds
317,Tygda,RU,53.12,126.33,57.02,97,100,8.84,overcast clouds
318,Sharjah,AE,25.36,55.40,100.38,34,0,6.91,clear sky
319,Havre-Saint-Pierre,CA,50.23,-63.60,75.56,41,0,8.05,clear sky
320,Aden,YE,12.78,45.04,86.45,72,80,5.93,broken clouds
321,Halifax,CA,44.65,-63.57,70.45,93,100,17.27,mist
322,Mpulungu,ZM,-8.76,31.11,75.99,44,2,3.13,clear sky
323,Sulphur Springs,US,33.14,-95.60,94.55,43,0,8.05,clear sky
324,Aksu,CN,41.12,80.26,78.8,34,1,10.31,clear sky
325,Kirovskiy,RU,45.09,133.51,62.04,89,0,4.05,clear sky
326,Faranah,GN,10.04,-10.74,70.59,97,100,6.64,light rain
327,Indianola,US,41.36,-93.56,79.57,62,0,6.26,clear sky
328,Letterkenny,IE,54.95,-7.73,62.49,49,99,4.92,overcast clouds
329,Kalevala,RU,65.20,31.17,79.09,51,64,6.67,broken clouds
330,Pauini,BR,-7.71,-66.98,95.34,37,4,4.94,clear sky
331,Oum Hadjer,TD,13.30,19.70,84.83,64,99,6.08,overcast clouds
332,Chuy,UY,-33.70,-53.46,61.47,75,33,10.29,scattered clouds
333,Lasa,IT,46.62,10.70,77.68,72,100,3.83,overcast clouds
334,Sungaipenuh,ID,-2.08,101.38,64.04,97,44,3.91,scattered clouds
335,Praia Da Vitoria,PT,38.73,-27.07,77.25,73,75,8.75,broken clouds
336,Katsuura,JP,35.13,140.30,77.61,93,48,10.31,scattered clouds
337,Lavrentiya,RU,65.58,-171.00,39.11,75,95,9.64,overcast clouds
338,Bilaspur,IN,22.08,82.15,81.05,76,32,7.54,scattered clouds
339,Tel Aviv-Yafo,IL,32.08,34.78,86.11,63,0,9.22,clear sky
340,Arinos,BR,-15.92,-46.11,91.87,20,32,4.9,scattered clouds
341,Port Said,EG,31.26,32.28,84.18,65,20,9.22,few clouds
342,Eirunepe,BR,-6.66,-69.87,88.63,50,47,4.45,scattered clouds
343,Mahebourg,MU,-20.41,57.70,70.09,83,20,3.44,few clouds
344,Vondrozo,MG,-22.82,47.28,61.03,97,69,2.66,broken clouds
345,Doka,SD,13.52,35.77,75.74,83,73,7.29,broken clouds
346,Cananea,MX,30.95,-110.30,72.72,62,36,5.53,scattered clouds
347,Moerai,PF,-22.43,-151.33,69.85,85,100,17.56,light rain
348,Diffa,NE,13.32,12.61,83.19,60,98,7.34,overcast clouds
349,Yenagoa,NG,4.92,6.26,86.18,54,61,7.02,broken clouds
350,Pangai,TO,-19.80,-174.35,74.89,62,95,31.45,overcast clouds
351,Hasaki,JP,35.73,140.83,75.6,95,85,4.29,overcast clouds
352,Biak,ID,-0.91,122.88,74.52,84,97,4.83,overcast clouds
353,Udachnyy,RU,66.42,112.40,50.45,93,100,17.0,overcast clouds
